ent idx,ent name
0,CID000000001
1,CID000000010
2,CID000000014
3,CID000000015
4,CID000000037
5,CID000000040
6,CID000000043
7,CID000000050
8,CID000000051
9,CID000000060
10,CID000000073
11,CID000000076
12,CID000000084
13,CID000000085
14,CID000000092
15,CID000000098
16,CID000000118
17,CID000000119
18,CID000000121
19,CID000000133
20,CID000000134
21,CID000000137
22,CID000000138
23,CID000000139
24,CID000000140
25,CID000000142
26,CID000000143
27,CID000000146
28,CID000000149
29,CID000000153
30,CID000000157
31,CID000000158
32,CID000000159
33,CID000000160
34,CID000000162
35,CID000000169
36,CID000000172
37,CID000000181
38,CID000000185
39,CID000000187
40,CID000000191
41,CID000000192
42,CID000000193
43,CID000000195
44,CID000000196
45,CID000000197
46,CID000000205
47,CID000000206
48,CID000000207
49,CID000000214
50,CID000000222
51,CID000000225
52,CID000000228
53,CID000000229
54,CID000000231
55,CID000000236
56,CID000000237
57,CID000000238
58,CID000000239
59,CID000000244
60,CID000000245
61,CID000000247
62,CID000000259
63,CID000000262
64,CID000000263
65,CID000000264
66,CID000000271
67,CID000000274
68,CID000000280
69,CID000000290
70,CID000000291
71,CID000000293
72,CID000000294
73,CID000000297
74,CID000000298
75,CID000000302
76,CID000000303
77,CID000000304
78,CID000000311
79,CID000000312
80,CID000000314
81,CID000000316
82,CID000000317
83,CID000000330
84,CID000000338
85,CID000000349
86,CID000000379
87,CID000000385
88,CID000000389
89,CID000000401
90,CID000000405
91,CID000000408
92,CID000000409
93,CID000000412
94,CID000000413
95,CID000000414
96,CID000000415
97,CID000000420
98,CID000000424
99,CID000000430
100,CID000000431
101,CID000000432
102,CID000000441
103,CID000000444
104,CID000000445
105,CID000000449
106,CID000000450
107,CID000000453
108,CID000000457
109,CID000000469
110,CID000000470
111,CID000000499
112,CID000000500
113,CID000000507
114,CID000000508
115,CID000000515
116,CID000000525
117,CID000000535
118,CID000000544
119,CID000000547
120,CID000000554
121,CID000000564
122,CID000000573
123,CID000000581
124,CID000000594
125,CID000000596
126,CID000000598
127,CID000000602
128,CID000000604
129,CID000000607
130,CID000000610
131,CID000000611
132,CID000000612
133,CID000000614
134,CID000000617
135,CID000000619
136,CID000000620
137,CID000000621
138,CID000000622
139,CID000000623
140,CID000000624
141,CID000000625
142,CID000000628
143,CID000000633
144,CID000000636
145,CID000000637
146,CID000000638
147,CID000000639
148,CID000000640
149,CID000000642
150,CID000000645
151,CID000000661
152,CID000000679
153,CID000000681
154,CID000000687
155,CID000000688
156,CID000000689
157,CID000000698
158,CID000000702
159,CID000000712
160,CID000000713
161,CID000000716
162,CID000000727
163,CID000000736
164,CID000000738
165,CID000000739
166,CID000000742
167,CID000000743
168,CID000000745
169,CID000000750
170,CID000000753
171,CID000000762
172,CID000000764
173,CID000000765
174,CID000000767
175,CID000000772
176,CID000000774
177,CID000000778
178,CID000000779
179,CID000000783
180,CID000000785
181,CID000000790
182,CID000000791
183,CID000000797
184,CID000000804
185,CID000000813
186,CID000000815
187,CID000000816
188,CID000000824
189,CID000000827
190,CID000000836
191,CID000000838
192,CID000000840
193,CID000000853
194,CID000000854
195,CID000000856
196,CID000000857
197,CID000000860
198,CID000000861
199,CID000000866
200,CID000000869
201,CID000000870
202,CID000000871
203,CID000000872
204,CID000000876
205,CID000000884
206,CID000000887
207,CID000000888
208,CID000000892
209,CID000000893
210,CID000000895
211,CID000000896
212,CID000000904
213,CID000000913
214,CID000000923
215,CID000000925
216,CID000000927
217,CID000000928
218,CID000000929
219,CID000000930
220,CID000000936
221,CID000000937
222,CID000000942
223,CID000000943
224,CID000000945
225,CID000000946
226,CID000000947
227,CID000000948
228,CID000000951
229,CID000000961
230,CID000000965
231,CID000000967
232,CID000000970
233,CID000000977
234,CID000000978
235,CID000000985
236,CID000000988
237,CID000000990
238,CID000000994
239,CID000000996
240,CID000001001
241,CID000001002
242,CID000001027
243,CID000001029
244,CID000001032
245,CID000001035
246,CID000001046
247,CID000001047
248,CID000001050
249,CID000001051
250,CID000001054
251,CID000001060
252,CID000001065
253,CID000001066
254,CID000001070
255,CID000001071
256,CID000001077
257,CID000001084
258,CID000001093
259,CID000001099
260,CID000001101
261,CID000001107
262,CID000001110
263,CID000001111
264,CID000001112
265,CID000001115
266,CID000001117
267,CID000001119
268,CID000001123
269,CID000001124
270,CID000001125
271,CID000001129
272,CID000001130
273,CID000001134
274,CID000001135
275,CID000001139
276,CID000001143
277,CID000001150
278,CID000001151
279,CID000001153
280,CID000001158
281,CID000001172
282,CID000001174
283,CID000001176
284,CID000001177
285,CID000001181
286,CID000001182
287,CID000001184
288,CID000001188
289,CID000001189
290,CID000001198
291,CID000001202
292,CID000001206
293,CID000001208
294,CID000001219
295,CID000001223
296,CID000001234
297,CID000001235
298,CID000001236
299,CID000001237
300,CID000001240
301,CID000001245
302,CID000001246
303,CID000001254
304,CID000001255
305,CID000001258
306,CID000001271
307,CID000001301
308,CID000001302
309,CID000001310
310,CID000001326
311,CID000001328
312,CID000001329
313,CID000001373
314,CID000001403
