ent idx,ent name
0,GO:0000001
1,GO:0000002
2,GO:0000003
3,GO:0000004
4,GO:0000006
5,GO:0000007
6,GO:0000009
7,GO:0000010
8,GO:0000011
9,GO:0000012
10,GO:0000014
11,GO:0000015
12,GO:0000016
13,GO:0000017
14,GO:0000018
15,GO:0000019
16,GO:0000021
17,GO:0000022
18,GO:0000023
19,GO:0000024
20,GO:0000025
21,GO:0000026
22,GO:0000027
23,GO:0000028
24,GO:0000029
25,GO:0000030
26,GO:0000031
27,GO:0000032
28,GO:0000033
29,GO:0000034
30,GO:0000035
31,GO:0000036
32,GO:0000037
33,GO:0000038
34,GO:0000040
35,GO:0000041
36,GO:0000042
37,GO:0000043
38,GO:0000045
39,GO:0000046
40,GO:0000048
41,GO:0000049
42,GO:0000050
43,GO:0000052
44,GO:0000053
45,GO:0000054
46,GO:0000055
47,GO:0000056
48,GO:0000057
49,GO:0000058
50,GO:0000059
51,GO:0000060
52,GO:0000061
53,GO:0000062
54,GO:0000063
55,GO:0000064
56,GO:0000065
57,GO:0000066
58,GO:0000068
59,GO:0000069
60,GO:0000070
61,GO:0000071
62,GO:0000073
63,GO:0000074
64,GO:0000075
65,GO:0000076
66,GO:0000077
67,GO:0000079
68,GO:0000080
69,GO:0000081
70,GO:0000082
71,GO:0000083
72,GO:0000084
73,GO:0000085
74,GO:0000086
75,GO:0000087
76,GO:0000088
77,GO:0000089
78,GO:0000090
79,GO:0000091
80,GO:0000092
81,GO:0000093
82,GO:0000095
83,GO:0000096
84,GO:0000097
85,GO:0000098
86,GO:0000099
87,GO:0000100
88,GO:0000101
89,GO:0000102
90,GO:0000103
91,GO:0000104
92,GO:0000105
93,GO:0000106
94,GO:0000107
95,GO:0000109
96,GO:0000110
97,GO:0000111
98,GO:0000112
99,GO:0000113
100,GO:0000117
101,GO:0000118
102,GO:0000119
103,GO:0000120
104,GO:0000121
105,GO:0000122
106,GO:0000123
107,GO:0000124
108,GO:0000125
109,GO:0000126
110,GO:0000127
111,GO:0000128
112,GO:0000129
113,GO:0000130
114,GO:0000131
115,GO:0000132
116,GO:0000133
117,GO:0000134
118,GO:0000136
119,GO:0000137
120,GO:0000138
121,GO:0000139
122,GO:0000140
123,GO:0000141
124,GO:0000142
125,GO:0000143
126,GO:0000144
127,GO:0000145
128,GO:0000146
129,GO:0000147
130,GO:0000148
131,GO:0000149
132,GO:0000150
133,GO:0000151
134,GO:0000152
135,GO:0000153
136,GO:0000154
