ent idx,ent name
0,1
1,10
2,100
3,1000
4,10000
5,10001
6,10002
7,10003
8,100033413
9,100033819
10,100037417
11,10004
12,100048912
13,100049159
14,100049587
15,100049707
16,10005
17,10006
18,10007
19,10008
20,10009
21,1001
22,10010
23,100101467
24,10011
25,100113407
26,100124696
27,100124700
28,100125288
29,100126296
30,100126297
31,100126301
32,100126307
33,100126309
34,100126310
35,100126313
36,100126314
37,100126315
38,100126316
39,100126317
40,100126318
41,100126319
42,100126320
43,100126325
44,100126327
45,100126328
46,100126333
47,100126334
48,100126335
49,100126336
50,100126337
51,100126345
52,100126346
53,100126348
54,100126351
55,100126354
56,100126355
57,100126356
58,100126572
59,100128252
60,100128327
61,100128731
62,100128927
63,100128977
64,100128998
65,100129543
66,100129583
67,100129669
68,100129842
69,10013
70,100130086
71,100130097
72,100130520
73,100130733
74,100130742
75,100130827
76,100130890
77,100130958
78,100131137
79,100131187
80,100131244
81,100131390
82,100131801
83,100131814
84,100131827
85,100131980
86,100132074
87,100132247
88,100132386
89,100132396
90,100132463
91,100133315
92,100133941
93,100134444
94,100134934
95,100137047
96,100137049
97,100137049|8681
98,10014
99,100141515
100,100144748
101,10015
102,100151683
103,10016
104,10017
105,100170841
106,10018
107,100187716
108,100187828
109,100188856
110,100188893
111,10019
112,1002
113,10020
114,10021
115,10022
116,10023
117,10025
118,10026
119,100271715
120,100271837
121,100271849
122,100271849|4207
123,100271927
124,100272147
125,100286914
126,100287144
127,100287171
128,100287178
129,100287205
130,100287238
131,100287327
132,100287362
133,100287364
134,100287399
135,100287404
136,100287441
137,100287478
138,100287513
139,100287515
140,100287718
141,100287932
142,100288332
143,100288562
144,100288646
145,100288687
146,100288805
147,100289087
148,100289635
149,100289678
150,100293516
151,100293534|721
152,1003
153,100302115
154,100302123
155,100302129
156,100302142
157,100302145
158,100302149
159,100302150
160,100302174
161,100302175
162,100302197
163,100302201
164,100302214
165,100302218
166,100302221
167,100302232
168,100302236
169,100302240
170,100302246
171,100302250
172,100302258
173,100302259
174,100302263
175,100302276
176,100302284
177,100302288
178,100302690
179,100302736|353376
180,100302736|51014
181,100303453
182,100303755
183,100310812
184,100310846
185,100312787
186,100313838
187,100313843
188,100313886
189,100313923
190,100359402
191,100359403
192,10036
193,10038
194,100381270
195,10039
196,1004
197,10040
198,10042
199,100422821
200,100422837
201,100422867
202,100422981
203,100422991
204,100423036
205,100423062
206,10043
207,100431172
208,10044
209,10045
210,10046
211,100463289
212,10047
213,10048
214,10049
215,100499467
216,1005
217,100500826
218,100500847
219,100505385
220,100505503
221,100505591
222,100505705
223,100506012
224,100506013
225,100506084
226,100506164
227,100506243
228,100506658
229,100506742
230,100506888
231,100506965
232,100507003
233,100507027
234,100507056
235,100507249
236,100507290
237,100507436
238,100507537
239,100507607
240,10051
241,10052
242,100526693
243,100526737|10432
244,100526739
245,100526739|378708
246,100526740
247,100526761|54937
248,100526767|51652
249,100526794|93034
250,100526835
251,100526835|51086
252,100526842
253,100527963|11243
254,100528021
255,100528030
256,100528030|8693
257,100528032
258,100528032|22914
259,100528062
260,100529144
261,100529207
262,100529239
263,100529240
264,100529261
265,100529261|2342
266,10053
267,100532726
268,100532731|648
269,100533105
270,100533105|23678
271,100533181
272,100533642
273,100533997
274,100534599|57461
275,10054
276,10055
277,10056
278,10057
279,10058
280,10059
281,1006
282,10060
283,10061
284,100616126
285,100616127
286,100616135
287,100616247
288,100616258
289,100616259
290,100616323
291,100616357
292,100616376
293,100616385
294,100616437
295,100616438
296,100616452
297,100616496
298,10062
299,10063
300,100653049|3885
301,10066
302,10067
303,10068
304,1007
305,10071
306,10072
307,10073
308,10075
309,100750225
310,100750247
311,10076
312,10079
313,1008
314,10081
315,10082
316,100820829
317,10083
318,10084
319,100847054
320,100847070
321,10085
322,100861412
323,100861540|1551
324,10087
325,100885850
326,10089
327,1009
328,10090
329,100913187|200315
330,10092
331,10093
332,10094
333,10095
334,10096
335,10097
336,10098
337,100996464
338,100996642
339,100996717
340,100996750
341,100996758
342,100996758|105379861|5540
343,100996763
344,100996928
345,100996939
346,101
347,1010
348,10100
349,10101
350,10102
351,10103
352,10105
353,101059938
354,101059953
355,101059957
356,10106
357,101060200
358,101060399|1039
359,101060521|55718
360,10107
361,10108
362,10109
363,10110
364,101101692
365,10111
366,10112
367,10113
368,10114
369,10116
370,10117
371,101180907
372,101180976
373,1012
374,10120
375,10121
376,10123
377,10124
378,10125
379,10126
380,10127
381,10128
382,10129
383,1013
384,10130
385,10131
386,10133
387,10134
388,10135
389,10136
390,10137
391,10138
392,10139
393,1014
394,10140
395,10142
396,10143
397,10144
398,10146
399,10147
400,10148
401,10149
402,1015
403,10150
404,10151
405,10152
406,10153
407,10154
408,10155
409,10156
410,10157
411,10158
412,10159
413,1016
414,10160
415,10161
416,10162
417,10163
418,10164
419,10165
420,10166
421,101669767
422,10167
423,10168
424,10169
425,1017
426,10170
427,10171
428,10172
429,10174
430,10175
431,10178
432,10179
433,1018
434,10181
435,10184
436,10186
437,10188
438,10189
439,1019
440,10190
441,101926885
442,101927423
443,101927581
444,101928376
445,101928527
446,101928601
447,101928917
448,101929726
449,101929876|6231
450,10193
451,101930123|29904
452,101930165|105369241|162699|728929
453,101930165|105369241|728929
454,10194
455,10195
456,10196
457,10197
458,10198
459,10199
460,102
461,1020
462,10200
463,10201
464,10202
465,10203
466,10204
467,10206
468,10207
469,10208
470,10209
471,1021
472,10210
473,10211
474,10212
475,10213
476,10215
477,102157402
478,10216
479,10217
480,10218
481,10219
482,1022
483,10220
484,10221
485,10224
486,10225
487,10226
488,10227
489,10228
490,10229
491,10231
492,10232
493,10233
494,10234
495,10235
496,10236
497,10238
498,10239
499,1024
500,10240
501,10241
502,10242
503,10243
504,10244
505,10245
506,10246
507,102465489
508,102465513
509,102465524
510,102465530
511,102465802
512,102465833
513,102465858
514,102466247
515,102466251
516,102466270
517,102466739
518,10247
519,10248
520,10249
521,1025
522,10250
523,10251
524,10252
525,10253
526,10254
527,10255
528,10256
529,10257
530,1026
531,10260
532,10261
533,10262
534,10263
535,10265
536,10266
537,10267
538,10268
539,10269
540,1027
541,10270
542,10272
543,102723532
544,102723532|283694
545,102723655
546,102723713
547,102723996|23308
548,102724101
549,102724127
550,102724159
551,102724159|5822
552,102724334
553,102724428
554,102724428|150094
555,102724560|875
556,102724594
557,102724594|7307
558,102724652
559,102724652|1409
560,102725035|107987462
561,10273
562,10274
563,10276
564,10277
565,10278
566,10279
567,1028
568,10280
569,102800317|1454
570,10282
571,10283
572,10284
573,10285
574,10286
575,10287
576,10288
577,10289
578,1029
579,10290
580,10291
581,10293
582,10294
583,10295
584,10296
585,10297
586,10298
587,10299
588,103
589,1030
590,10300
591,10302
592,10307
593,10308
594,10309
595,1031
596,10311
597,10312
598,10313
599,10314
600,10316
601,10317
602,10318
603,10319
604,1032
605,10320
606,10321
607,10324
608,10325
609,10326
610,10327
611,10328
612,10329
613,1033
614,10330
615,10331
616,10332
617,10333
618,10335
619,10336
620,10342
621,10343
622,10344
623,10345
624,10346
625,10347
626,10349
627,10350
628,10351
629,10352
630,1036
631,10360
632,10361
633,10362
634,10363
635,10365
636,10367
637,10368
638,10369
639,10370
640,10371
641,103753527
642,10376
643,10379
644,10380
645,10381
646,10382
647,10383
648,10384
649,10385
650,10388
651,10389
652,10390
653,10391
654,103910
655,103910|10627
656,10392
657,10393
658,10394
659,10395
660,10396
661,10397
662,10398
663,10399
664,104
665,1040
666,10400
667,10401
668,10402
669,10403
670,10404
671,10406
672,10408
673,10409
674,1041
675,10410
676,10411
677,10412
678,10413
679,10417
680,10418
681,10419
682,10420
683,10421
684,10422
685,10423
686,10424
687,10425
688,10426
689,10427
690,1043
691,10430
692,10432
693,10434
694,10435
695,10436
696,10437
697,10438
698,10439
699,1044
700,10440
701,10443
702,10444
703,10445
704,10446
705,10447
706,10449
707,1045
708,10450
709,10451
710,10452
711,10454
712,10455
713,10456
714,10457
715,10458
716,10459
717,1046
718,10460
719,10461
720,10462
721,10463
722,10464
723,10465
724,10466
725,10467
726,10468
727,10469
728,1047
729,10471
730,10472
731,10474
732,10475
733,10476
734,10477
735,10478
736,10479
737,1048
738,10480
739,10481
740,10482
741,10483
742,10484
743,10485
744,10486
745,10487
746,10488
747,10489
748,10490
749,104909134|1394
750,10491
751,10492
752,10493
753,10494
754,10495
755,10497
756,10498
757,10499
758,105
759,1050
760,10500
761,10501
762,10505
763,10507
764,10509
765,1051
766,10512
767,10513
768,10514
769,10516
770,10517
771,10518
772,10519
773,1052
774,10520
775,10521
776,10522
777,10523
778,10524
779,10525
780,10526
781,10527
782,10528
783,10529
784,1053
785,10531
786,10533
787,10535
788,10536
789,10537
790,105371045
791,105375355
792,105379765|613211
793,10538
794,10539
795,1054
796,10540
797,10541
798,10542
799,10544
800,10549
801,1055
802,10550
803,10551
804,10552
805,10553
806,10554
807,10555
808,10556
809,10557
810,10558
811,10559
812,1056
813,10560
814,10561
815,10562
816,10563
817,10564
818,10565
819,10566
820,10568
821,10569
822,1057
823,10570
824,10572
825,10573
826,10574
827,10575
828,10576
829,10577
830,10578
831,10579
832,1058
833,10580
834,10581
835,10584
836,10585
837,10586
838,10587
839,10588
840,10589
841,1059
842,10590
843,10591
844,10592
845,10594
846,10595
847,10597
848,10598
849,10599
850,1060
851,10600
852,10602
853,10603
854,10605
855,10606
856,10607
857,10608
858,10609
859,1061
860,10610
861,10611
862,10612
863,10613
864,10614
865,10615
866,10616
867,10617
868,10618
869,1062
870,10620
871,10621
872,10622
873,10623
874,10625
875,10626
876,10627
877,10628
878,10629
879,1063
880,10630
881,10631
882,10632
883,10633
884,10634
885,10635
886,10636
887,10637
888,10640
889,10641
890,10642
891,10643
892,10644
893,10645
894,10648
895,10650
896,10651
897,10652
898,10653
899,10654
900,10655
901,10656
902,10657
903,10658
904,10659
905,1066
906,10660
907,10661
908,10663
909,10664
910,10666
911,10667
912,10668
913,10669
914,10670
915,10671
916,10672
917,10673
918,10675
919,10677
920,10678
921,1068
922,10681
923,10682
924,106821730|56924
925,10683
926,10686
927,10687
928,1069
929,10690
930,10691
931,10692
932,10693
933,10694
934,10695
935,10699
936,107
937,1070
938,107075310
939,107080638
940,107080638|51256
941,1071
942,10712
943,10713
944,10714
945,10715
946,10716
947,10717
948,10718
949,107181291
950,1072
951,10720
952,10721
953,10723
954,10724
955,10725
956,10726
957,10728
958,1073
959,10730
960,10732
961,10733
962,10734
963,10735
964,10736
965,10741
966,10743
967,10744
968,10746
969,10747
